count,shelfId,bookCount
335,ckt4lavsh1131331l77a8oozio1y,2
336,cktz1n9sn201403yz7azy20384h,1
337,ckuhl39cf808825m7ab76ojyte,1
338,cku7970fb139726og7azyzjq6dx,15
339,ckt01b9vu57631bt7ok7dek80x,95
340,ckuxuasli9201931j7a60cvl5de,66
341,cku77055u423561nl7ajk3xxmmj,2
342,ckujy80fd246614367adut8k2sw,6
343,cku0gm5qi1654364yz7a9x5vmp07,1
344,ckueg35gd6964951j7aip9dntst,26
345,ckt4fb705641321l77aqikym5xh,13
346,cku77axki440666nl7ak5jggoyl,1
347,ckvanf05x131713fe8bc2jpsgu8,31
348,ckt31kf7z31434ar7at3xuzcjm,27
349,cktndv5j825036213tplk03kuel,16
350,ckt7qjuy5337997zr7as3l27yy6,33
351,cksluas5b1616098q298v033pehv,68
352,ckt4p9pcc261018mz7aqn924si0,1
353,cku0ct4ju1428060yz7aukvk92f4,66
354,ckrrnocnw1662831798mc354m74,8
355,ckuwj3udd3185412b7a9eged9oh,1
356,cku1m73wv127038yz7ays5jz43v,12
357,cksiqgyld894269q2986sa179lv,12
358,cktjqxyja1428753a57atofo61p7,24
359,ckv3uwhd788275hk8bjo5le7c7,4
360,ckv3nddnp352822gm8bzfb6u0e5,90
361,ckv748coy226234xt8bes9oq0i5,16
362,cksltyd9r1577745q298zq9ymp1n,72
363,ckv0ad206168344r8bkw9qpal5,17
364,ckuoao8p71766961evyp1x0w3rf,2
365,ckub3j9p2138311fy7tksfvn13,32
366,ckudwpmbg354592a7axlk0iuxg,17
367,ckrrnw71x1716631798hpt3cujq,1
368,ckv89v4qb3330803i8btyezmcd5,16
369,cktdcggtn80949mo7ay24o62i5,3
370,ckv808v042199512j8bjvig766z,10
371,cksxdfpvn2314171k8guvr29n4f,8
372,cks8ml78i2842111k98g8cwlc3h,1
373,ckuovwvgp6832882j7ap7ztkahj,5
374,ckuozgm687404082j7avdil14n2,20
375,ckuwma60h6539152b7akquf8r7r,1
376,cks1s5zwb15469311798ytjp9dg1,97
377,ckul56co1321391j7abmswmz5w,8
378,cksrkipgr1276101957nen1f5sm,1
379,ckv52zyni58604np8b0lliirdn,3
380,ckuwo6uoh63791j7aobj1z2to,54
381,ckurwmobq6456852j7azql7i8sh,3
382,cksiqq4o5916255q298ng0sz44b,8
383,cksxm8exi126415378g0c0ootor,11
384,ckuvoh24l843432297az8ls7264,3
385,cktz1p7d8206022yz7atl4bahfr,2
386,ckuwwcbws285408266ptoevr1fl,7
387,cktxt0bpn1537287yz7ak1q8wg9q,17
388,cktxd88d1726468yz7aeto6e0al,3
389,ckswekrkv114942k8gn07ooigy,4
390,ckuw0zscu4908282i7axe07vea9,39
391,ckv1hm6k109381i8b9jna7tog,311
392,ckt4d4itb342138l77acbl1kifp,4
393,ckuwvrxhd171602266p4um36bzt,1
394,ckv15unrx353664738bods0qxt4,5
395,ckrzlinnc1262289179817eo7bty,9
396,cks9ahrpb950201k98i4nb9uc8,20
397,cku77to7i463858nl7ay80uo727,1
398,ckt61b4tg803894rg7awzquhqp7,83
399,ckuxs458j5979391j7atbagigr6,28
400,ckusixwjm9996222j7a3nwkrs0z,75
401,ckuh4the22542934j7a51k8mjg1,20
402,ckt7r0dz0367957zr7agqb1enqm,8
403,cktyq2jy6952070yz7a0fq8wlt8,1
404,ckuwutq4l468461i6p09bt1p20,2
405,ckrp4ccnt277331czq7o0jcgjw,133
406,ckv03igsl3696653h8bswz1qxmi,3
407,ckuvgdxt510201182j7atuxg5oa6,25
408,ckst9dc5f5073111y8zsy8fsyok,2
409,ckryaydlv5700171798tra32606,12
410,ckszvezx2288348as7o4clyqixj,34
411,cku15fs17999182yz7a88jq96i0,207
412,ckuwsxcn19340461j7atxyyz3fb,14
413,cksuxnr2v5097ao8gqcblwo4k,237
414,ckud4jtvc173939757a6pcypm0w,15
415,ckuxwmvgl14423151j7ahcqree48,14
416,ckv3tpqoy42970hk8btu2g7oms,14
417,ckls2pmjy09311iecejv74lfn,12
418,ckt5m6uv664054q77adcp1h4wc,6
419,ckuq4i1zm4119012j7ape8wufcc,32
420,cktoy7jki498963yz7atvu4lljv,3
421,cku0gnjwk1660641yz7a3novwnah,63
422,ckuzhmyhn11338201i8bu6bfdyf4,217
423,cku1m8afx132003yz7a2havixz0,124
424,ckuvr8gxv166365613ully9mfc8p,1
425,cku73052m156917nl7a4c2cg9hs,17
426,cktn0wh5i339967yz7a2o6hwo0q,12
427,ckv2nbp2i1058620b88bduont1ja,2
428,ckuzf8eum4256571i8bu4d25d86,87
429,ckv6onskl271826um8bcgua2vp5,15
430,cksxiu52k279302h8gecvi91yw,1
431,cksxe8h2f3479511k8g7b5wfcgw,3
432,ckt4x5j5p957706mz7awg3zhkfv,6
433,ckslus2427687q298k0q9dml7,7
434,ckv2nblyl1057674b88bdfaltruf,3
435,ckv0ig5d91021684r8bcegoj5t0,10
436,ckv2nblhz1057554b88bxtmxtzji,5
437,cku2npkxa923568yz7a3cqh6xgx,1
438,cksz20q8l622544y7o02gutd2p,3
